line_name,station_name,town_code
4号線名城線,大曽根,23103132001
6号線桜通線,野並,23116026000
6号線桜通線,車道,23102002003
6号線桜通線,瑞穂区役所,23108099003
6号線桜通線,桜山,23108034001
6号線桜通線,吹上,23101066007
6号線桜通線,瑞穂運動場西,23108099005
6号線桜通線,名古屋,23105115001
6号線桜通線,久屋大通,23106018003
6号線桜通線,今池,23101013005
6号線桜通線,高岳,23102037002
6号線桜通線,桜本町,23112168001
6号線桜通線,丸の内,23106018002
6号線桜通線,中村区役所,23105059003
6号線桜通線,国際センター,23105115004
6号線桜通線,鶴里,23112065004
6号線桜通線,新瑞橋,23108099008
6号線桜通線,御器所,23107002004
上飯田線,平安通,23103102001
上飯田線,上飯田,23103019001
河和線,太田川,23222002104
河和線,高横須賀,23222005174
河和線,南加木屋,23222003164
河和線,富貴,23447079142
河和線,坂部,23441004137
河和線,成岩,23205091003
河和線,巽ヶ丘,23441006111
河和線,青山,23205219001
河和線,阿久比,23441001116
河和線,知多半田,23205086001
河和線,植大,23441003177
河和線,住吉町,23205191000
河和線,半田口,23205201004
河和線,知多武豊,23447047000
河和線,八幡新田,23222003137
河和線,河和口,23446012118
河和線,上ゲ,23447038000
河和線,河和,23446006106
河和線,白沢,23441006138
蒲郡線,吉良吉田,23213194138
蒲郡線,西浦,23214024168
蒲郡線,三河鹿島,23214010129
蒲郡線,形原,23214009106
蒲郡線,蒲郡,23214035000
蒲郡線,東幡豆,23213198147
蒲郡線,三河鳥羽,23213196115
蒲郡線,蒲郡競艇場前,23214021152
蒲郡線,西幡豆,23213197160
蒲郡線,こどもの国,23213198245
空港線,常滑,23216043006
空港線,りんくう常滑,23216139002
空港線,中部国際空港,23216138001
犬山線,犬山,23215013127
犬山線,布袋,23217161000
犬山線,扶桑,23362004134
犬山線,石仏,23228002127
犬山線,江南,23217043000
犬山線,犬山遊園,23215013139
犬山線,犬山口,23215013138
犬山線,岩倉,23228012109
犬山線,柏森,23362002124
犬山線,木津用水,23362004122
犬山線,上小田井,23104030000
犬山線,下小田井,23233037000
犬山線,大山寺,23228017119
犬山線,徳重・名古屋芸大,23234014118
犬山線,西春,23234010138
犬山線,中小田井,23104064001
広見線,富岡前,23215114105
広見線,善師野,23215091211
広見線,犬山,23215013127
三河線,梅坪,23211023009
三河線,若林,23211259107
三河線,三河知立,23225013101
三河線,越戸,23211070102
三河線,豊田市,23211169006
三河線,竹村,23211126115
三河線,刈谷市,23210039001
三河線,平戸橋,23211190113
三河線,土橋,23211137008
三河線,重原,23225006124
三河線,刈谷,23210082001
三河線,猿投,23211013005
三河線,三河八橋,23211179113
三河線,上挙母,23211047002
三河線,知立,23225002001
三河線,吉浜,23227010001
三河線,碧南中央,23209182003
三河線,碧南,23209095005
三河線,北新川,23209101005
三河線,高浜港,23227020006
三河線,新川町,23209029001
三河線,小垣江,23210016150
三河線,三河高浜,23227018005
小牧線,犬山,23215013127
小牧線,田県神社前,23219019000
小牧線,間内,23206019000
小牧線,羽黒,23215144208
小牧線,小牧,23219100001
小牧線,味岡,23219005000
小牧線,小牧口,23219017000
小牧線,楽田,23215202000
小牧線,上飯田,23103019001
小牧線,味美,23206102001
小牧線,味鋺,23103130002
小牧線,牛山,23206019000
小牧線,春日井,23206035102
常滑線,大江,23112021003
常滑線,太田川,23222002104
常滑線,朝倉,23224019000
常滑線,豊田本町,23112167001
常滑線,尾張横須賀,23222013109
常滑線,新日鉄前,23222001250
常滑線,柴田,23112147002
常滑線,神宮前,23109027003
常滑線,長浦,23224038001
常滑線,道徳,23112165001
常滑線,大同町,23112066000
常滑線,名和,23222008273
常滑線,聚楽園,23222001269
常滑線,寺本,23224022142
常滑線,古見,23224011154
常滑線,蒲池,23216030005
常滑線,日長,23224017109
常滑線,多屋,23216074005
常滑線,西ノ口,23216069004
常滑線,榎戸,23216119006
常滑線,大野町,23216018005
常滑線,新舞子,23224013105
常滑線,常滑,23216043006
瀬戸線,新瀬戸,23204188000
瀬戸線,守山自衛隊前,23113071000
瀬戸線,喜多山,23113083002
瀬戸線,水野,23204062002
瀬戸線,尾張旭,23226114000
瀬戸線,三郷,23226062000
瀬戸線,小幡,23113080001
瀬戸線,旭前,23226151005
瀬戸線,瓢箪山,23113070000
瀬戸線,瀬戸市役所前,23204130000
瀬戸線,印場,23226147002
瀬戸線,尾張瀬戸,23204234000
瀬戸線,大森・金城学院前,23113043003
瀬戸線,東大手,23106012004
瀬戸線,大曽根,23102031000
瀬戸線,矢田,23102053001
瀬戸線,尼ヶ坂,23103007001
瀬戸線,森下,23102025002
瀬戸線,清水,23103052002
瀬戸線,栄町,23106018003
西尾線,新安城,23212036001
西尾線,西尾口,23213136104
西尾線,桜井,23212022139
西尾線,上横須賀,23213177135
西尾線,堀内公園,23212055117
西尾線,北安城,23212027114
西尾線,福地,23213031107
西尾線,桜町前,23213123004
西尾線,吉良吉田,23213194138
西尾線,南安城,23212004173
西尾線,碧海古井,23212052109
西尾線,西尾,23213071004
西尾線,米津,23213135130
知多新線,美浜緑苑,23446002121
知多新線,知多奥田,23446002183
知多新線,上野間,23446004118
知多新線,野間,23446011180
知多新線,内海,23445001261
知多新線,富貴,23447079142
築港線,大江,23112021003
築港線,東名古屋港,23111015000
津島線,甚目寺,23237025111
津島線,須ヶ口,23233011000
津島線,津島,23208072000
津島線,藤浪,23232034106
津島線,木田,23237006140
津島線,青塚,23208001003
津島線,勝幡,23232030114
津島線,七宝,23237013112
尾西線,観音寺,23203047002
尾西線,萩原,23203148120
尾西線,二子,23203158122
尾西線,奥町,23203038147
尾西線,開明,23203234141
尾西線,苅安賀,23203209102
尾西線,西一宮,23203131001
尾西線,名鉄一宮,23203087001
尾西線,玉ノ井,23203242119
尾西線,弥富,23235014118
尾西線,日比野,23232066105
尾西線,山崎,23220381142
尾西線,玉野,23203247129
尾西線,六輪,23220384116
尾西線,上丸渕,23220369117
尾西線,町方,23232056104
尾西線,佐屋,23232048125
尾西線,五ノ三,23235050111
尾西線,森上,23220380107
尾西線,津島,23208072000
尾西線,丸渕,23220369108
豊川線,豊川稲荷,23207073101
豊川線,諏訪町,23207052003
豊川線,八幡,23207115105
豊川線,国府,23207025112
豊川線,稲荷口,23207011003
豊田線,黒笹,23236023001
豊田線,米野木,23230010137
豊田線,梅坪,23211023009
豊田線,上豊田,23211025109
豊田線,三好ヶ丘,23236017002
豊田線,赤池,23230022001
豊田線,日進,23230018002
豊田線,浄水,23211102101
名古屋本線,知立,23225002001
名古屋本線,新安城,23212036001
名古屋本線,牛田,23225003001
