ファイル名,業態,市内外,組み合わせbits,組み合わせID,組み合わせ名,採用媒体数,採用媒体一覧,媒体,Shapley準拠_接触者平均,接触率,接触者数,重み付き貢献度,広告予算配分_推奨(RAW比),広告予算配分_推奨(0%下限正規化%)
1m5,学習塾(小学生~高校生向け),名古屋市内,1001,C0009,折込+web,2,"折込,web",折込,0.003190005,0.348818256,428,1.365322163,1.087630282,1.087630282
1m5,学習塾(小学生~高校生向け),名古屋市内,1001,C0009,折込+web,2,"折込,web",web,0.671170296,0.150774246,185,124.1665048,98.91236972,98.91236972
1m5,学習塾(小学生~高校生向け),名古屋市内,1010,C0010,ポスティング+web,2,"ポスティング,web",ポスティング,-0.06963591,0.277098615,340,-23.67620952,-24.24086274,0
1m5,学習塾(小学生~高校生向け),名古屋市内,1010,C0010,ポスティング+web,2,"ポスティング,web",web,0.655929,0.150774246,185,121.3468649,124.2408627,100
1m5,学習塾(小学生~高校生向け),名古屋市内,1011,C0011,折込+ポスティング+web,3,"折込,ポスティング,web",折込,-0.001278553,0.348818256,428,-0.547220501,-0.564513815,0
1m5,学習塾(小学生~高校生向け),名古屋市内,1011,C0011,折込+ポスティング+web,3,"折込,ポスティング,web",ポスティング,-0.069889429,0.277098615,340,-23.76240574,-24.51334751,0
1m5,学習塾(小学生~高校生向け),名古屋市内,1011,C0011,折込+ポスティング+web,3,"折込,ポスティング,web",web,0.655385009,0.150774246,185,121.2462267,125.0778613,100
1m5,学習塾(小学生~高校生向け),名古屋市内,1100,C0012,フリーペーパー+web,2,"フリーペーパー,web",フリーペーパー,0.26007374,0.089649552,110,28.60811143,18.63626981,18.63626981
1m5,学習塾(小学生~高校生向け),名古屋市内,1100,C0012,フリーペーパー+web,2,"フリーペーパー,web",web,0.675132977,0.150774246,185,124.8996008,81.36373019,81.36373019
1m5,学習塾(小学生~高校生向け),名古屋市内,1101,C0013,折込+フリーペーパー+web,3,"折込,フリーペーパー,web",折込,0.004068838,0.348818256,428,1.741462636,1.118844823,1.118844823
1m5,学習塾(小学生~高校生向け),名古屋市内,1101,C0013,折込+フリーペーパー+web,3,"折込,フリーペーパー,web",フリーペーパー,0.260315571,0.089649552,110,28.63471284,18.39706437,18.39706437
1m5,学習塾(小学生~高校生向け),名古屋市内,1101,C0013,折込+フリーペーパー+web,3,"折込,フリーペーパー,web",web,0.677146469,0.150774246,185,125.2720968,80.4840908,80.4840908
1m5,学習塾(小学生~高校生向け),名古屋市内,1110,C0014,ポスティング+フリーペーパー+web,3,"ポスティング,フリーペーパー,web",ポスティング,-0.097586951,0.277098615,340,-33.17956349,-27.54650181,0
1m5,学習塾(小学生~高校生向け),名古屋市内,1110,C0014,ポスティング+フリーペーパー+web,3,"ポスティング,フリーペーパー,web",フリーペーパー,0.289982942,0.089649552,110,31.89812359,26.48261841,20.76310839
1m5,学習塾(小学生~高校生向け),名古屋市内,1110,C0014,ポスティング+フリーペーパー+web,3,"ポスティング,フリーペーパー,web",web,0.658003899,0.150774246,185,121.7307214,101.0638834,79.23689161
1m5,学習塾(小学生~高校生向け),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",折込,-0.002669776,0.348818256,428,-1.142664077,-0.956476929,0
1m5,学習塾(小学生~高校生向け),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",ポスティング,-0.095332515,0.277098615,340,-32.41305516,-27.13163045,0
1m5,学習塾(小学生~高校生向け),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",フリーペーパー,0.285632969,0.089649552,110,31.41962659,26.3000724,20.53279804
1m5,学習塾(小学生~高校生向け),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",web,0.657308241,0.150774246,185,121.6020245,101.788035,79.46720196
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1,C0001,折込,1,折込,折込,-0.198535839,0.371346705,648,-128.651224,100,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,10,C0002,ポスティング,1,ポスティング,ポスティング,-0.143310797,0.242979943,424,-60.76377773,100,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",折込,-0.20246209,0.371346705,648,-131.1954344,66.07685288,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",ポスティング,-0.158854547,0.242979943,424,-67.354328,33.92314712,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,100,C0004,フリーペーパー,1,フリーペーパー,フリーペーパー,0.570521013,0.078510029,137,78.1613788,100,100
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",折込,-0.202999333,0.371346705,648,-131.5435677,249.5641884,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",フリーペーパー,0.575432521,0.078510029,137,78.83425531,-149.5641884,100
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,110,C0006,ポスティング+フリーペーパー,2,"ポスティング,フリーペーパー",ポスティング,-0.219034508,0.242979943,424,-92.87063143,1481.303211,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,110,C0006,ポスティング+フリーペーパー,2,"ポスティング,フリーペーパー",フリーペーパー,0.632124886,0.078510029,137,86.60110938,-1381.303211,100
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",折込,-0.207244295,0.371346705,648,-134.294303,94.35067145,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",ポスティング,-0.22401585,0.242979943,424,-94.98272041,66.7316725,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",フリーペーパー,0.634611184,0.078510029,137,86.94173217,-61.08234395,100
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1000,C0008,web,1,web,web,1.161780776,0.100859599,176,204.4734166,100,100
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1001,C0009,折込+web,2,"折込,web",折込,-0.06866575,0.371346705,648,-44.49540579,-28.69315434,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1001,C0009,折込+web,2,"折込,web",web,1.133912794,0.100859599,176,199.5686517,128.6931543,100
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1010,C0010,ポスティング+web,2,"ポスティング,web",ポスティング,-0.038101795,0.242979943,424,-16.15516113,-8.629702789,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1010,C0010,ポスティング+web,2,"ポスティング,web",web,1.15545059,0.100859599,176,203.3593039,108.6297028,100
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1011,C0011,折込+ポスティング+web,3,"折込,ポスティング,web",折込,-0.070055385,0.371346705,648,-45.39588977,-33.92985187,0
